"Height","Age","Income","SAT"
65,68,6430.79,867
65,51,42795.35,1194
74,77,24874.06,979
70,19,28303.2,1040
74,55,61783.78,949
72,24,14208.77,948
65,22,61052.53,981
71,20,14455.75,1176
73,20,30250.06,1287
64,26,26553.42,1046
68,78,6607.89,907
64,69,27362,1051
70,26,56348.17,1167
74,34,80302.39,1130
67,54,27309.89,1070
62,68,38721.54,1169
70,42,101196.35,948
64,43,44054.85,1399
72,66,85219.2,992
67,18,45685.74,1163
67,48,50247.75,1008
65,89,47168.58,1186
68,30,15900.32,1074
68,30,66518.37,1184
71,59,9820.33,1180
68,80,48449.59,1175
69,51,51823.52,1070
72,25,11124.41,715
69,85,27138.55,1049
75,68,34245.44,1132
71,58,28818.58,978
74,48,7532.7,870
68,62,19486.42,1307
64,32,42412.52,1339
68,65,28704.63,1166
69,27,47494.98,549
70,23,21631.84,690
72,39,59920.12,1058
66,40,52682.05,998
61,68,12693.12,1071
65,19,8745.31,1371
64,83,29202.87,1076
75,78,105921.01,947
72,42,30726.49,982
72,21,23998.13,1155
70,67,6750.74,974
71,68,145804.8,906
69,22,4344.36,1102
69,25,8570.96,965
68,75,71100.73,1013
68,59,3407.5,1212
73,34,56414.03,1108
73,21,28504.72,836
72,80,13128.17,553
64,34,87430.36,492
66,82,35921.9,825
66,21,51356.77,665
73,87,67011.02,1081
66,69,143895.8,842
65,62,11773.26,899
65,23,52594.33,898
65,63,27331.75,951
71,58,97277.04,683
71,53,13855.77,739
60,83,38571.28,1005
69,29,15620.48,674
73,62,17225.39,1312
72,21,8954.25,1312
69,57,36974.48,1400
60,88,31457.79,912
69,74,10470.62,1035
68,52,29675.2,910
68,32,52841.44,1211
68,83,14380.43,832
67,75,5866.17,1220
70,35,11817.73,918
78,54,13534.45,762
75,24,37377.47,1123
66,66,43262,831
67,42,16501.8,971
71,76,89954.99,862
78,64,14511.58,1009
70,18,15150.99,1214
69,52,29181.59,737
65,29,94024.59,731
73,80,12263.92,772
69,35,16214.78,1101
64,25,71373.06,915
69,35,70235.8,1044
68,44,49185.8,1505
70,19,25861.38,1251
74,71,81682.73,1053
70,57,50515.04,1133
71,30,20450.79,1282
66,44,32497.91,946
70,84,33768.33,1280
70,23,68400.27,890
73,28,10397.5,1027
73,80,58890.71,1226
65,59,45525.19,1109
68,59,84487.5,1199
74,60,48647.36,982
75,76,45810.52,1290
71,44,42467.27,1104
67,85,33860.72,1123
72,22,51190.64,1282
69,18,56510.73,1471
70,89,13477.32,1036
67,43,23891.18,1600
72,28,52261.49,1374
64,78,18782.71,1063
65,49,82359.12,737
71,80,70318.8,1179
74,39,49722.21,1108
78,37,21099.67,878
69,25,107138.56,1354
68,64,36110.8,1116
76,45,6834.06,1223
75,28,10116.67,1162
64,50,45615.72,1020
79,66,8693.16,650
72,24,60834.39,583
73,54,27812.26,1233
73,85,30621.7,752
72,57,23238.17,1204
68,68,20294.61,1058
67,78,45111.16,1237
70,33,47767.79,708
68,28,60491.49,979
67,51,13531.53,953
69,67,22444.23,1156
69,74,7995.41,958
71,42,18758.5,913
71,38,52314.7,923
61,24,32458.39,896
66,62,152540.4,1068
69,77,29170.43,1019
68,68,6378.51,950
69,62,31357.61,938
69,68,42275.89,1282
70,36,16424.13,1130
71,29,42420.33,1169
74,36,54818.88,1027
70,49,65133.1,1042
67,67,54999.63,704
71,23,48720.67,978
66,67,49140.64,962
75,40,32585.44,1014
67,37,8292.58,1494
70,87,12855.7,987
77,27,35572.19,1232
65,58,47889.1,952
66,40,85724.37,1111
74,45,34600.54,1050
63,59,43025.52,1110
73,71,19813.92,1093
77,39,7917.79,906
71,47,23410.01,1160
74,49,43668.11,1016
73,53,45694.97,996
71,63,77436.51,1099
77,41,20246.49,1301
73,44,25665.23,1202
72,59,35612.18,1008
64,55,7910.03,959
64,87,35748.53,1097
65,74,58890.34,1600
62,54,12489.69,956
72,64,13250.7,594
66,81,38414.19,939
77,80,30263.45,1431
67,18,8470.52,1198
69,69,19160.28,1008
71,24,82871.2,1137
68,75,3716.82,1268
67,29,164704.9,1289
70,54,73863.29,956
77,86,12727.56,1046
70,87,54106.14,1083
67,89,34390.83,1011
63,18,92947.25,1020
71,21,22407.7,790
67,48,122541.87,1148
68,69,15201.1,1094
72,70,84010.72,1447
67,54,66306.95,1333
64,44,13276.61,777
65,52,16236.7,765
66,50,53504.95,1268
67,70,11940.84,802
76,22,44480.21,924
68,84,47656.66,1005
67,59,38733.2,1077
67,60,78074.53,683
70,67,6285.34,1260
65,79,102858.06,1034
69,47,45393.74,1011
69,51,10003.63,1245
72,88,57397.56,1054
77,67,46413.6,1111
67,39,140980.81,1252
74,27,57408.38,1120
69,43,17510.48,1402
73,62,34693.15,1325
77,23,15572.94,1018
71,89,24535.68,1166
66,75,63639.54,1053
62,42,36833.77,1503
62,77,62001.55,1034
65,77,24090.82,1167
73,85,64372.26,1502
67,35,32218.15,666
69,52,54933.92,1010
69,67,43582.9,1268
67,65,21837.38,1069
75,22,66862.26,808
77,87,47856.97,955
58,68,143800.23,1297
62,65,14600.82,989
68,89,18287.48,1238
70,33,30003.3,1047
64,30,3127.35,1061
71,31,93905.74,1031
74,71,36984.11,1167
67,24,20046.07,945
72,64,187030.03,670
71,48,9748.84,979
68,83,32936.49,873
66,34,43222.83,1017
74,51,28306.63,1048
75,75,69497.89,861
74,82,50276.41,1165
69,87,44202.04,777
73,78,21721.38,1001
69,34,46458.54,948
72,27,6568.08,1120
68,80,7197.57,1248
69,65,35266.17,989
73,80,80301.11,1518
64,30,36005.54,1197
65,60,53934.5,1061
69,72,62157.88,1253
75,54,59378.09,980
66,46,56958,1221
73,80,18056.03,910
70,25,50480.42,1178
69,41,14476.32,1158
66,51,9616.93,1192
71,60,49508.98,1082
74,46,33809.85,1351
69,22,26605.29,1051
64,76,26199.68,849
73,21,26535.11,1017
63,56,51948.25,1037
60,85,39729.8,1078
66,41,50235.89,957
68,42,34066.56,1183
67,45,29130.37,1220
68,67,15914.13,1001
69,29,5925.88,912
72,54,39844.92,968
68,23,49774.55,964
66,37,106239.71,1065
76,23,38977.5,995
69,88,41438.44,768
73,41,7069.74,1108
69,78,31684.49,806
63,80,12735.22,978
79,40,12678.03,1200
66,21,8429.14,918
73,80,16607.81,891
69,44,142918.66,1336
67,38,8489.22,860
62,25,21845.25,1171
73,21,50154.02,1070
68,51,16290.66,1600
64,28,33537.34,1202
74,86,53851.5,1462
68,45,31688.12,964
72,44,22361.88,1078
61,53,38290.54,951
74,43,67324.8,524
67,69,9897.16,1112
68,71,52273.76,1135
74,88,92030.71,998
72,55,53134.28,1350
64,86,35310.37,1182
67,72,16577.92,911
69,21,140233.37,882
62,61,25187.33,1148
63,34,98567.23,1083
70,23,5886.38,1106
72,53,103283.49,1051
68,87,27627.68,1231
74,18,12429.85,1166
69,81,12162.69,864
61,60,22421.67,1069
67,62,11584.39,1229
73,73,9745.57,1018
68,79,10851.82,974
66,81,34591.85,857
66,23,16995.39,876
72,53,24687.11,761
66,81,39393.56,1205
70,51,53292.79,1011
68,72,84787.6,845
72,78,10057.47,1359
75,38,34957.83,1284
74,18,29458.38,1077
69,57,13055.17,1307
75,49,51351.69,864
73,83,7691.35,772
64,85,52122.97,1108
70,67,34475.71,784
72,59,35246.7,934
69,35,35129.03,1177
73,37,64805.1,1084
73,58,51788.41,718
70,33,49762.01,983
70,58,24259.47,1122
68,30,11450.59,1423
71,29,83911.29,1154
64,50,27533.25,1090
69,40,18319.65,1208
67,18,77040.49,995
72,77,25482.31,1034
68,30,42968.56,955
71,83,29076.14,1275
75,20,16542.17,791
60,77,33617.24,992
64,72,24818.61,1058
74,62,72083.69,1286
74,26,82936.25,838
69,61,50827.67,1087
66,53,22896.56,1000
64,79,34735.48,1158
74,56,20386.27,1047
73,81,22798.89,758
72,50,46335.21,1333
60,62,85965.33,710
64,20,34791.74,1194
64,41,52128.17,963
65,38,8199.29,750
65,32,69738.29,1032
67,41,13321.17,1085
73,21,18274.25,728
71,58,111645.05,797
65,53,32049.05,1015
72,20,21079.25,785
62,48,12457.68,1013
67,52,17106.15,1054
64,46,12217.46,804
68,62,36916.4,988
66,58,35120.28,1288
59,26,23246.17,1391
72,43,13795.35,1274
70,26,55204.35,1293
69,67,23327.52,1041
72,34,64965.41,1345
68,31,14240.83,935
73,52,24685.48,1262
62,71,61654.22,739
65,54,150671.25,1199
72,23,25822.44,1004
82,87,93940.91,958
72,19,38539.06,951
68,81,22068.74,897
70,86,46930.34,928
74,48,72459.51,721
67,59,24726.07,1138
70,43,39200.67,1012
72,29,25967.66,1449
73,24,56597.85,947
75,46,49598.33,871
73,46,7935.58,989
70,22,27380.82,1160
64,19,47595.55,891
69,55,62316.81,981
73,47,9765.2,1009
65,88,13837.75,1104
66,40,37203.47,1063
76,57,83941.9,1122
65,72,43530.07,877
67,84,55276.01,1244
63,86,49440.15,994
68,30,11379.68,1243
67,42,19639.35,1080
71,30,31952.14,928
67,74,45060.83,960
67,26,55498.71,1307
73,18,38380.04,845
69,68,130871.76,1045
68,75,55027.75,1272
68,51,40265.4,922
70,83,90302.45,1201
70,80,69245.87,938
77,54,37793.96,770
64,44,10837.89,1157
71,68,19905.59,940
76,59,45053.39,1174
70,75,39894.98,1080
72,64,24235.72,887
66,39,78336.71,831
69,34,26378.04,857
64,65,25722.38,1027
70,76,16041.72,997
74,28,28169.69,904
64,51,1643.03,1261
68,34,23935.87,1243
63,54,19980.24,1149
71,22,39599.12,1182
67,49,38588.63,811
63,45,29920.37,971
78,47,84693.88,888
71,71,42596.33,1338
66,54,39141.97,981
66,82,69449.84,750
63,83,15882.82,852
71,87,81667.15,1209
66,25,5308.22,916
72,35,52993.08,1199
69,60,32494.92,1044
69,52,15302.14,659
69,43,8787.35,1312
66,69,14867.32,896
69,34,11000.57,1049
67,35,23754.42,840
78,35,18544.33,1097
69,71,105633.88,1423
66,63,13085.1,1253
68,37,43578.42,1139
69,32,39188.11,1135
65,28,20154.92,1204
72,46,20526.82,1079
70,67,42563.8,882
68,47,55759,1328
74,20,13057.5,1173
65,58,47366.3,926
67,86,26730.21,875
68,60,54459.53,1178
68,33,16547.07,993
77,76,44940.26,822
72,31,71996.19,1114
70,57,208.22,866
68,64,11273.19,1192
66,50,72563.61,1213
71,35,52695.64,925
68,62,163041.49,1112
63,86,31861.82,1029
70,75,45241.18,1077
66,63,36107.03,1015
67,28,29582.21,868
66,43,31427.94,1002
72,45,11970.36,1069
66,65,55239.07,1050
73,56,40061.22,1069
79,54,104530.51,1314
68,39,50046.96,878
69,38,13306.32,683
64,28,33542.61,1079
71,30,36071.83,884
73,62,42232.89,1160
68,70,69201.33,1492
69,85,62662.7,1077
68,40,16355.34,1200
70,61,28193.31,1085
70,79,21457.3,845
80,79,36566.88,813
68,21,67912.74,872
73,39,55272.31,874
66,70,60498.33,1098
69,76,60712.23,1079
71,77,41683.14,1137
68,74,39194.02,970
70,62,44191.08,548
74,86,73845.15,979
63,48,30175.84,756
66,69,25337.21,909
71,80,82377.5,905
74,40,8015.8,1002
70,53,101251.04,954
70,73,19360.27,843
71,60,29938.9,1033
62,45,65645.11,901
74,59,24696.37,971
70,36,27989.08,1319
69,58,70554.81,937
63,59,27131.35,1273
71,71,10063.6,886
66,32,10714.83,882
74,63,18146.99,1111
63,82,31755.58,1174
70,57,59094.44,625
66,51,6583.81,1206
66,61,24657.73,457
67,56,33592.36,1091
76,45,23029.09,950
61,71,74357.45,1071
63,82,24642.02,1108
71,78,70806.89,957
72,22,81951.16,762
72,53,60104.95,643
68,37,22798.95,912
66,87,4830.98,926
71,89,3016.93,1310
71,22,31147.4,1191
63,46,31040.85,1074
68,51,40942.06,1204
71,39,10615.99,1373
63,39,3055.62,1168
68,73,27323.76,1139
68,66,26281.93,1039
65,23,24376.34,1082
71,41,42659.56,924
70,18,11981.5,1027
64,35,22819.65,1317
72,69,53585.52,729
67,55,24512.3,812
63,84,22803.22,1221
65,56,54442.13,784
73,42,53405.06,1291
72,26,3942.22,1147
66,80,109882.36,873
67,46,29461.62,1026
65,52,16972.94,1099
67,20,75918.26,1071
66,37,7470.13,1393
67,54,22583.16,871
66,89,28565.39,1428
66,73,50431.36,822
69,51,1729.7,860
68,81,60252.84,1245
58,21,28248.7,879
61,49,22441.25,915
69,64,25078.89,1240
68,40,45798.44,616
68,46,39861.4,872
63,79,9703.63,1206
66,84,72278.03,898
66,89,52490.49,565
71,29,37274.29,1145
68,19,64356.96,1600
68,51,117536.66,1140
67,86,12876.88,1044
68,82,45844.82,958
72,39,25814.03,873
74,30,23582.37,905
73,86,47005.26,905
72,52,22633.53,888
73,22,21509.92,1084
70,35,41585.78,1047
71,76,20968.8,1048
62,21,93045.7,1028
71,56,56327.95,1074
73,63,76290.49,1427
64,63,41134.37,1037
68,69,51543.04,1469
67,85,31725.38,1133
70,82,36027.98,1093
73,54,58626.74,1218
67,84,29839.57,958
78,74,14081.6,864
73,55,11331.73,1012
70,65,14814.76,954
71,81,76939.26,929
68,25,32423.85,1414
74,42,35461.51,1104
67,32,42376.52,957
69,86,54803.39,1095
70,52,53325.45,932
73,58,44475.58,880
68,63,31545.9,1071
72,88,14397.03,990
67,27,73551.59,1112
66,31,16566.66,656
65,80,116564.23,633
67,56,35326.99,1249
69,40,64887.12,1007
74,71,30271.42,1137
74,84,63127.05,578
70,77,47880.12,820
72,58,5282.06,810
66,22,47427.48,961
70,79,19074.22,980
66,26,20683.17,939
70,80,35714.12,1199
66,41,15202.82,1352
72,70,66458.69,708
67,21,47279.54,996
68,63,9120.39,1107
71,47,90125.89,833
69,56,14064.23,652
72,48,35189.89,873
68,76,37777.8,1268
71,46,60074.77,1295
69,39,10907.39,937
66,45,8721.21,1207
63,54,39564.75,1080
73,48,15217.87,1113
60,74,41139.8,1086
70,75,13384.48,1129
72,53,10128.5,1600
61,31,55838.94,1289
71,62,41342.42,1073
69,86,9946.93,950
65,66,6593.02,1152
71,44,24757.55,1027
66,71,57590.57,877
68,68,55388.38,776
66,85,16386.34,1135
72,77,27653.33,1210
72,58,35383.92,676
70,58,53409.56,1384
66,64,49841.51,879
72,48,35328.86,803
71,64,74980.47,1289
69,44,31805.08,1028
71,32,24941.54,894
72,85,74115.82,967
67,44,23838.91,1408
66,63,33191.15,850
69,81,61929.2,1576
72,38,68837.53,1039
73,20,89776.23,850
68,40,11567.6,1183
66,61,55753.68,867
70,55,9547.63,966
69,34,33428.34,1098
68,84,14827.5,1232
65,36,57934.64,999
70,78,37529.17,1062
70,46,49144.17,1085
65,18,15047.91,1234
69,71,19077.04,1023
72,33,46697.93,781
65,37,48347.16,1082
76,47,60562.7,1036
67,77,22668.44,1370
72,61,18984.44,1256
70,40,10328.45,1460
65,80,25193.47,864
72,76,79874.41,831
65,32,24524.96,1073
71,69,40305.04,1118
70,29,31519.92,1125
67,24,15258.65,1148
69,35,16565.04,1215
71,67,145331.54,1117
62,37,40137.78,986
71,40,28692.32,1082
66,36,42469.76,1248
71,28,12664.94,1178
67,75,24778.11,974
69,89,42806.8,995
72,35,37701.02,1190
64,48,94562.15,1058
75,40,35390.36,692
66,88,14062.17,1338
66,23,15216.45,1014
73,43,11190.53,1176
69,48,62344.35,1432
70,64,76152.76,856
64,63,53977.05,1139
75,50,44574.87,1399
69,49,74599.31,754
74,25,102828.69,1040
70,27,21141.94,832
72,34,26369.16,951
73,70,53808.52,1070
69,54,59245.69,1163
68,74,46745.85,864
72,27,7333.3,1359
71,60,11787.77,729
67,64,64482.76,576
71,32,32995.25,900
66,24,29905.75,854
70,66,51158.68,1343
68,38,56973.78,867
69,74,46986.49,661
67,62,50698.95,1014
68,74,9748.87,995
63,52,45311.86,1153
74,52,22486.93,923
70,87,27328.97,850
70,55,24880.96,1273
73,38,33699.45,1001
68,66,26624.23,1112
69,41,46235.99,1227
66,30,8406.84,1165
77,28,19598.78,1329
72,29,50893.28,1269
73,31,62226.98,1127
65,29,38206.17,1169
63,33,74042.6,613
68,46,46355.66,665
70,89,31223.21,1221
66,84,82993.13,1196
75,72,29808.76,849
69,78,119562.97,1078
66,22,58483.5,913
67,75,49681.29,1222
77,79,26803.18,1269
71,89,9192.46,1085
73,60,135382.34,810
72,76,59133.65,926
74,25,98898.43,1260
71,83,131687.91,1013
69,28,46965.48,961
67,53,4883.49,931
70,87,58574.28,899
70,79,42243.15,970
72,71,35544.8,967
69,43,60725.6,971
66,56,12579.35,1112
68,85,33266,1534
70,46,36953.86,1198
68,31,60440.45,1045
73,19,43268.43,1030
73,84,15149.28,1269
68,56,61418.19,1086
68,56,66748.04,1322
63,88,125278.22,938
71,86,11929.22,1271
72,83,104173.84,1142
74,37,19744.26,1600
63,57,17251.42,1175
74,55,28486.71,1517
68,69,38371.84,906
75,60,79770.74,1399
77,46,57255.95,629
74,25,62825.68,1099
71,82,63373.53,1162
73,38,12661.65,887
71,36,29908.81,844
73,26,21361.25,747
71,44,18073.14,1083
68,74,27515.24,832
70,71,40693.37,1137
72,39,52008.09,707
75,29,23653.93,885
73,71,15977.02,909
65,80,72623.42,860
67,56,36005.41,1236
74,70,17576.07,815
67,76,11505.77,781
69,66,17097.67,1083
74,86,39417.14,1134
70,49,67515.13,753
72,44,3821.2,926
68,79,7657.56,1171
72,19,67553.27,797
70,44,34990.95,863
71,66,9797.1,1027
73,66,13693.38,858
68,35,71551.09,879
71,68,9481,1118
75,27,125735.18,1069
75,25,17603.49,1101
70,34,26993.78,1440
67,73,49563.49,1204
61,80,55404.44,1192
67,22,15100.47,946
69,20,83494.74,916
68,61,34252.53,932
76,80,30380.3,1144
64,54,34159.36,1345
72,43,87127.88,961
64,59,51887.68,1140
68,79,67540.19,1272
69,46,50932.59,912
70,68,66377.18,982
72,21,46343.02,885
71,87,27093.96,1396
74,76,28773.93,1167
67,21,24497.57,1075
70,75,5544.48,1251
67,49,43196.87,1185
66,50,27822.83,743
63,78,40015.98,1206
66,27,23407.6,1227
67,47,29932.68,1195
66,62,15249.88,1167
71,41,36664.78,950
67,78,57295,1099
71,82,32336.47,1045
72,26,21746.99,911
67,71,63030.1,1380
66,43,16595.64,920
71,57,8402.35,1307
66,66,18852.26,1379
70,40,38954.18,843
72,61,58285.84,880
76,56,15221.2,1149
71,18,33578.15,1051
69,32,48799.41,791
64,28,15648.94,1108
67,22,26701.57,895
72,25,44839.09,1033
71,71,32833.67,929
70,71,45052.89,1394
69,54,14336.18,1114
68,57,18961.47,948
73,74,33675.46,1290
70,41,55568.07,713
70,87,86724.76,1206
72,57,25520.49,1271
68,18,30939.56,964
70,31,20669.93,949
68,68,7169.99,713
73,41,49858.35,1257
64,67,64176,1164
73,76,23509.38,1213
69,85,38757.45,628
72,28,19950.25,1177
75,35,48967.14,959
68,63,49163.06,1033
67,68,22083,773
65,52,30641.27,1030
73,65,39210.45,879
68,71,40073.8,995
65,72,3594.87,1005
67,88,28137.79,1133
66,43,114531.22,1153
71,47,49627.6,1036
71,86,40309.43,1231
68,39,32290.16,1395
68,19,20244.2,990
67,33,6174.71,1115
66,64,82812.68,909
74,26,9903.79,1523
66,19,35516.04,642
63,42,14429.94,976
76,41,4724,1194
71,24,108224.38,1431
73,62,9659.14,888
65,48,81022.24,1266
63,85,45810.53,806
65,61,18357.7,1037
69,53,25057.16,876
75,63,4663.69,806
71,38,40976.1,1189
72,63,56003.99,1284
75,62,34336.09,786
72,32,71693.28,1347
70,45,148092.97,907
65,32,22974.1,939
73,31,28363.17,1392
69,61,29836.32,914
67,20,21006.02,1196
68,84,47622.16,574
71,78,65399.29,1053
68,89,18647.39,1129
73,47,85378.46,1289
69,60,37510.94,825
62,82,37111.9,1373
66,56,42001.24,991
65,82,49941.72,1378
67,32,21683.96,1173
67,84,7799.96,956
70,29,7109.22,1127
75,44,49909.74,934
63,25,31524.31,894
67,56,27197.41,1136
77,23,56231.85,1130
70,26,84796.05,1202
68,70,28070.06,1073
65,18,44560.37,905
68,56,12734.78,704
75,50,17602.73,1076
70,61,57437.15,1111
73,51,33841.04,1185
67,39,5318.8,1301
65,22,42718,761
73,76,35256.66,1056
63,61,68700.01,887
68,78,48911.82,959
70,53,64114.03,724
74,78,54876.39,1258
63,33,22014.56,968
73,53,48656.75,1165
69,53,36544.2,1006
66,31,104205.56,1289
67,81,121263.32,849
70,67,25675.7,1154
77,87,82111.95,1368
71,40,28264.55,1314
58,75,21394.72,917
69,40,82264.91,996
61,73,38326.19,665
61,18,8422.79,994
63,80,43029.5,891
67,61,41228.79,1232
71,45,21711,1019
68,42,66951.33,1187
68,51,34088.34,1302
70,88,43239.47,950
64,61,23816.27,1046
59,50,23386.87,992
63,36,29904.98,1062
71,70,62057.17,1502
72,68,109556.66,1146
67,34,35985.2,1417
63,54,59023.85,1044
68,52,34312.36,1087
70,26,85632.84,1008
65,26,67679.9,824
74,67,22463.99,963
69,26,35599.89,1268
75,26,36636.59,1103
72,24,63679.35,1185
78,68,42657.51,981
71,67,8789.7,1533
62,34,3140.33,1058
72,55,28178.65,1416
70,29,77833.91,1026
72,31,37103.25,939
69,64,136084.77,912
65,19,112230.77,965
65,27,8886.49,934
65,67,25292.34,758
69,25,37075.05,993
64,36,7196.58,1164
68,45,31406.43,754
65,27,29076.79,1049
76,67,32546.13,1331
75,54,96127.87,1182
70,32,64067.41,782
64,24,9047.17,981
66,22,21340.68,1259
67,43,34108.66,1225
72,18,78890.64,1486
79,64,98165.03,1229
67,60,60930.92,1035
67,42,62004.6,1181
63,86,34974.1,765
73,36,6548.47,1085
60,33,8934.01,1134
74,70,28992.81,815
70,25,14857.52,1190
67,77,73337.49,937
70,34,35338.45,795
70,33,51604.35,1002
65,48,57486.29,1116
65,54,44466.55,891
69,72,23336.51,919
68,25,62313.15,1105
73,67,14215.83,1139
68,65,42185.78,825
72,80,25337.06,787
73,34,8852.51,838
66,82,15360.99,1033
66,60,6810.99,1048
71,23,23175.64,1138
64,40,27558.16,1267
69,40,85597.18,1163
71,61,40641.54,1204
72,34,17048.58,1397
67,19,25618.33,1362
70,18,34165.59,898
67,78,23749.69,860
71,76,30457.45,1082
68,30,17636.96,1297
71,38,35592.96,902
72,66,22403.46,1046
67,31,24628.78,1020
77,35,90056.99,921
64,23,51541.5,1300
68,74,14730.37,1314
68,68,30328.75,1009
69,56,61126.34,860
78,27,53124.74,873
65,56,92441.62,784
69,50,31360.47,1399
62,55,7164.79,1044
67,32,15235.26,948
72,63,6870.17,1263
76,48,37107.89,968
72,86,9385.12,1293
69,36,41987.12,819
64,28,95779.89,894
70,86,103454.13,863
69,36,27699.4,969
62,61,10681.83,699
72,39,25605.54,967
68,18,81659.47,948
73,77,40666.08,1095
68,21,32737,993
68,82,54803.35,981
69,74,78606.2,611
71,53,54598.33,1355
67,75,10762.64,1376
68,49,73651.95,1152
69,64,52197.94,939
71,32,9672.15,913
68,87,18628.48,931
69,21,19736.67,1075
73,79,68620.91,1182
60,20,54881.9,1131
63,64,10847.39,1013
70,27,126549.62,1315
71,88,59268.6,1170
69,55,60687.65,1083
75,18,74146.45,1308
59,87,57681.31,850
69,74,43972.77,1047
70,39,19931.93,1251
69,24,43981.94,1217
67,53,31883.33,1138
71,45,106131.13,994
74,27,41694.93,1138
